Gene1,Gene2
"Gpx2-74819652","Mafb-73771240"
"Fam124a-72472790","Sh3d19-74425516"
"Arf1-199390","Filip1-73635796"
"Rasa4-74425552","Vti1a-74641238"
"Pck2-71836804","Tex261-74047919"
"Sostdc1-77874602","Thnsl1-74988343"
"Ccdc85a-75081006","Chat-252"
"2610109H07Rik-74272038","Slc43a2-74425544"
"Ipo4-74658174","Sprn-73512367"
"Decr1-74425550","Pck2-71836804"
"Serinc1-77413696","Tspyl4-67936212"
"Epha1-74640882","Slc35f2-74819683"
"Matk-76135823","Mdk-1227"
"Adora2a-72109410","Shb-71670695"
"Pck2-71836804","Rfx4-71249068"
"Elmod1-71924269","Slx1b-74819688"
"Cdh9-72472764","Pgrmc2-74882697"
"Mdk-1227","Rfx4-71249068"
"2610109H07Rik-74272038","Pitrm1-74273117"
"Ano6-77887878","Sostdc1-77874602"
"Ptprk-74743303","Slc6a4-79591679"
"Fam124a-72472790","Insrr-71670480"
"Nin-76115736","Sigmar1-112196265"
"Pgrmc2-74882697","Tmx4-74882217"
"Col24a1-73636093","Mmp14-74658084"
"Mtap-79568030","Tex261-74047919"
"Epha1-74640882","Tspyl4-67936212"
"Rfx4-71249068","Sox10-79556652"
"Epha1-74640882","Pck2-71836804"
"LOC235953-73931419","Slc35f2-74819683"
"Creb3l1-112197858","Srsf9-75043152"
"Hapln1-77332706","Pitrm1-74273117"
"Col24a1-73636093","Ndufa10-74658173"
"Ano6-77887878","Pgrmc2-74882697"
"Cd97-112646460","Lhcgr-77869818"
"Clip4-75774680","Ipo4-74658174"
"Bmp3-72472749","Slc6a4-79591679"
"Ano6-77887878","Rgnef-74272892"
"Lims2-75145999","Susd2-75146000"
"2010300C02Rik-70743898","Sh3d19-74425516"
"2010300C02Rik-70743898","Adora2a-72109410"
"Inhbb-73636087","Sprn-73512367"
"2010111I01Rik-71717630","Sh3d19-74425516"
"Slx1b-74819688","Spint2-74047774"
"Isyna1-75145997","Mfsd6-75651167"
"9830001H06Rik-77340458","Gpr123-71924056"
"C030046I01Rik-74881890","Nxn-72007747"
"Neurod2-75651126","Slc25a25-544516"
"Elmod1-71924269","Fndc3b-74988759"
"Cks2-80517357","Kpnb1-77340472"
"Syt4-2651","Tex261-74047919"
"Cdh9-72472764","Slx1b-74819688"
"Gpx2-74819652","Tmx4-74882217"
"Fzd9-73907498","LOC235953-73931419"
"Gpx2-74819652","Mef2c-79567505"
"Gabra4-71924402","Matk-76135823"
"Cadm2-73635999","Elmod1-71924269"
"Creb3l1-112197858","Greb1-71924412"
"Inhbb-73636087","Mmp14-74658084"
"Aldh1a1-72103809","Kcnj9-72119580"
"Hbb-b2-77371773","Rgnef-74272892"
"Gtf3c2-7","Sept5-958"
"Dlst-321200","Mmp14-74658084"
"Cd44-224","Cep72-74988742"
"Bmp3-72472749","Fzd9-73907498"
"Adora2a-72109410","Apc-74881517"
"2610109H07Rik-74272038","Col24a1-73636093"
"Fzd9-73907498","Tspyl4-67936212"
"Adora2a-72109410","Ptprk-74743303"
"LOC381355-71924491","Rfxank-67881545"
"Terf2ip-112196711","Zfp790-356855"
"Ano6-77887878","Slc43a2-74425544"
"Cadm2-73635999","Tmie-74957868"
"Mmp14-74658084","Tmx4-74882217"
"Apc-74881517","Gabra4-71924402"
"Gpr123-71924056","Slc6a4-79591679"
"Clip4-75774680","Mmp14-74658084"
"Aldh1a1-72103809","Vti1a-74641238"
"Decr1-74425550","LOC545810-71924492"
"Kcnj9-72119580","Syt4-2651"
"Fndc3b-74988759","Fryl-73512207"
"Atp5h-77371785","Mylk-74819252"
"Chat-252","Gpr151-74724649"
"Sprn-73512367","Thnsl1-74988343"
"Alg14-75081004","Tex261-74047919"
"Gpr146-77371845","Mtap1a-76115734"
"Ano6-77887878","Tmie-74957868"
"Clip4-75774680","Pgrmc2-74882697"
"2610109H07Rik-74272038","Tmie-74957868"
"Mtap1a-76115734","Vti1a-74641238"
"LOC545810-71924492","Slc6a4-79591679"
"Tmem29-75080656","Tspyl4-67936212"
"Fzd9-73907498","Syt4-2651"
"Fam46a-73520967","Ipo4-74658174"
"Dpysl5-73635770","Fhdc1-73925717"
"Fzd9-73907498","Vti1a-74641238"
"9830001H06Rik-77340458","Sik3-74881867"
"Epha1-74640882","Ptprk-74743303"
"Mtap-79568030","Pck2-71836804"
"Col24a1-73636093","Pafah1b1-2460"
"Syt6-1032","Wnt8b-1890"
"Ly6h-71924388","Sprn-73512367"
"Gpnmb-74581367","Insrr-71670480"
"Mtap1a-76115734","Slc35f2-74819683"
"2010300C02Rik-70743898","Tbl3-77413694"
"Bpgm-77414641","Grin2b-74988710"
"Alg14-75081004","Gpr146-77371845"
"Pgrmc2-74882697","Tmeff1-77395095"
"Col24a1-73636093","Slx1b-74819688"
"Elmod1-71924269","Pafah1b1-2460"
"Ptprk-74743303","Slc35f2-74819683"
"Inhbb-73636087","Thnsl1-74988343"
"Gpr146-77371845","Tbl3-77413694"
"Cdh9-72472764","Thbs2-73929578"
"Elmod1-71924269","Ly6h-71924388"
"Ero1lb-72340145","P2rx3-75888751"
"Elmod1-71924269","Mef2c-79567505"
