gene1,gene2
"Otx2-112194935","Rasal2-75147758"
"Lancl1-74881159","Slc9a6-76115744"
"Dyrk1a-79907941","Slc22a23-72128754"
"Epn3-74357584","Rab3ip-71717136"
"Stoml2-74581379","Strada-74819330"
"Heatr7a-73992940","Prl2c2-75077152"
"Cep78-322963","Trim28-1071"
"Galr2-80517343","Pbx3-76085744"
"Epn3-74357584","Plxnb2-1263"
"AI593442-71250312","Adamts18-75651128"
"Atp10a-72128790","Strn-73521824"
"Nrsn1-71358557","Pdgfa-1516"
"Ascl2-1156","Wnt8a-1115"
"Cmtm4-2101","Col18a1-287"
"Bcan-154","Gckr-74274683"
"Plxnb2-1263","Rab3ip-71717136"
"Acot13-75042252","Acot7-145"
"Chrm3-2095","Map2k6-73817433"
"Gad1-479","Lhx2-2375"
"Ms4a6b-293474","Psap-846"
"Efna1-1347","Gmps-1361"
"Mageh1-17","Tomm20-74819230"
"Eps8l1-1707","Ppm1g-2499"
"Prdx3-70743842","Ywhaz-1133"
"Gnas-509","Slc24a2-71924238"
"Crispld1-72077456","Tdrd3-77887882"
"Gmps-1361","Il17rb-2317"
"Arhgap25-72128789","Bcan-154"
"Gnpnat1-2267","Kcnj16-2341"
"Marcksl1-670","Rfxank-67881545"
"Rasal2-75147758","Smarca2-1972"
"1110037F02Rik-74988462","Npr1-71670678"
"Fryl-70431430","Ncs1-77332082"
"Pttg1-293036","Tdrd3-77887882"
"P2rx3-75888751","Tomm20-74819230"
"Gnat1-2265","Kifc2-614"
"Map2k6-73817433","Nacc2-74641266"
"Mmgt1-77414585","Npr1-71670678"
"Purb-75080632","Tmem25-71670700"
"Aph1a-1990","Kifc2-614"
"Adamts18-75651128","Ldb2-74641311"
"Mef2d-67810540","Stx1a-2645"
"F11r-75773698","Mrpl39-673"
"1500002O20Rik-1954","Slc35a2-2607"
"Eef1b2-75934526","Rab3c-73521805"
"Calcrl-74988670","Hbb-b1-67936011"
"Acyp2-73930820","Col12a1-73817431"
"Cnp-1175","Gba-1611"
"Gca-74641159","Hpcal4-73520985"
"Mrap2-71924480","Rab3ip-71717136"
"Purb-75080632","Tagln3-75988633"
"Ddn-73636031","Pogk-71064277"
"Epn3-74357584","Pxn-1814"
"Pdgfa-1516","Ralyl-72129250"
"Rwdd2b-1587","Wif1-74511885"
"Lat-2367","Mocs1-323590"
"Ddn-73636031","Eif2d-323588"
"P2rx3-75888751","Pogk-71064277"
"Cdh13-77869863","Tomm20-74819230"
"Fam19a4-72472752","Ramp1-1912"
"Nol4-76115737","Tomm20-74819230"
"Arid5a-75042267","Itpk1-71923998"
"Gm5083-73930833","Gmfb-1726"
"Dok2-2155","Mef2d-67810540"
"Col12a1-73817431","Flrt3-73931404"
"Tmem64-77414589","Zfp790-356855"
