"Cyp4f15-1189","Tnrc6a-314"
"Eif3j-321196","Rgag1-75041526"
"Sema3f-72007563","Tm7sf3-77874614"
"Eps8l2-74658244","Slc35b4-75774107"
"Myo10-74743255","Rassf4-74988636"
"Cdh2-79556666","Fam46a-75042237"
"Cyp26b1-79568022","Nkd1-74586666"
"Pou2f1-1563","Zfp61-75749409"
"Mylk-74819252","Six1-1834"
"Gas1-2251","Slc6a11-72472802"
"0610010F05Rik-74957923","Hkdc1-70634299"
"Gng12-73512194","Ppapdc1a-74881927"
"Rps4y2-75934917","Spata2l-73817441"
"Fezf2-75651163","Gng7-1734"
"Galp-79556611","Iscu-74819565"
"Capsl-75079776","Clec11a-112195815"
"Avp-131","Fbxw2-355882"
"Aff4-2363","B4galt6-2055"
"Eps8l2-74658244","Pdyn-71717084"
"Cdkn1a-80343383","Sun1-74425548"
"Bcl6-75651139","Rapgef4-74749895"
"Col9a2-74750022","Mgat2-74988614"
"Nmb-71836874","Nr4a2-732"
"Cdc25b-74274686","Emb-73930836"
"Aldh5a1-77925007","Gpr151-74724649"
"Grb7-112204995","Pth1r-112202195"
"Grin2b-74988710","Hook3-1197"
"B4galt3-357099","Setbp1-1532"
"Bpgm-77414641","Csk-75651192"
"Lzic-276064","Rfxank-67881545"
"Limk1-640","Syt11-2649"
"Casc1-75038484","Th-1056"
"Cysltr1-75651227","Mmaa-1772"
"Ar-2039","Fhdc1-73925717"
"Fkbp6-2222","Uba6-74819486"
"Gcg-75749416","Kif5b-2353"
"Alpk2-74988275","Lhx2-79568024"
"Bsg-166","Ccdc85a-75081006"
"1700037H04Rik-324211","Satb1-927"
"Mylk3-73992942","Syt6-1032"
"Ostf1-73907505","Zim2-76135811"
"Mon1b-74958566","Pcdh8-74750019"
"F13a1-74882565","Zfand3-77414923"
"Cysltr1-75651227","Nxph4-73521000"
"Plxnb3-1265","Setd4-1798"
"Shroom1-1315","Thbs4-112651416"
"Dok2-2155","Kif5b-2353"
"Slc35c2-2615","Stat5a-77413690"
"Gnal-71670716","Lhx2-79568024"
"Btg2-72283802","Creb3l1-112197858"
"Dbh-79907893","Terf2ip-112196711"
"Itga3-598","Synpo-75080644"
"Snca-986","Zmiz1-74988259"
"Greb1-71924412","Prpf6-67850946"
"Dbh-79907893","E130012A19Rik-74363349"
"Acacb-74881515","Gabre-75749417"
"Gabre-75749417","Igfn1-75988547"
"Fam195a-1996","Top2a-1301"
"Greb1-71924412","Mylk-74819252"
"Coro1c-75651191","Myo10-74743255"
"Pwp2-112645814","Wnt5a-79556660"
"Csk-75651192","Prdx1-836"
"Acacb-74881515","Ptgds-851"
"Tacr1-79591721","Txnip-1084"
"Sytl3-2653","Tacr1-79591721"
"Chrna1-75551465","Dbi-71836880"
"Mon1b-74958566","Nin-76115736"
"Aqp4-79556722","Tnfaip8-75038412"
"Aqp4-108","Cct8-2079"
