"Darc-74581383","Haghl-75259440"
"Nr2f2-112646890","Tnfaip8-75038412"
"Ramp1-1912","Tacr1-79591721"
"Pdcl-324213","Sult1a1-75774114"
"Gpr101-79591639","Pcdhac1-73512189"
"Acpl2-80343348","LOC436099-73512350"
"Jup-74425547","Tspan32-72129242"
"Cd33-75043153","Vav3-76085746"
"Gbe1-75042250","Tat-2657"
"Gpr18-71015809","Sox11-79912528"
"Gpr101-79591639","Scd1-71836746"
"C130021I20Rik-74511997","Pcsk1-72008494"
"Asb4-71358591","Zfp189-79490078"
"Avil-72340234","Nudt21-2115"
"Ctsb-67779877","Gabpb1-121098"
"Map2k5-323585","Pla2g16-112650769"
"Camk2d-71016676","Tceb3-75043141"
"Map2k5-323585","Ube3c-71670707"
"Mocs1-323590","Rer1-323586"
"Greb1-71924412","Ptp4a1-75079765"
"B4galt5-73635976","Klhl36-77371861"
"B3gnt5-73992711","Ostn-74581440"
"Hnrnph2-112649906","P2rx3-75888751"
"Ctla4-75079745","Mageh1-17"
"Ephb3-1492","Slc31a2-75773700"
"Aff4-2363","Dvl2-112649476"
"Sbk1-71836807","Sox14-73636036"
"Ano6-77887878","Cdh13-234"
"Lrrc49-70634108","Wdr47-74819248"
"Gpr83-72338696","Tacr1-79591721"
"Drd4-112650336","Pde11a-75081007"
"Ntf5-1393","Sox11-79912528"
"Agtr1b-74724627","Chrnb3-70436747"
"Adamts18-75651128","Cish-70634310"
"Azin1-74047917","Wnt7b-79567815"
"Col9a3-70928304","Gpc2-72472808"
"Cntnap4-70928361","Pcp4-79912613"
"Kcnh3-74641310","Pdgfb-71587782"
"Ifnar1-588","Nkain4-112648182"
"Eps8l2-74658244","Itpk1-71923998"
"Magix-74581446","Rps4y2-75934917"
"Pomp-75774685","Tbck-79567760"
"Adrb1-77340494","Kcng1-77340480"
"Cdh13-234","Hspb6-74882616"
"Igsf5-592","Ywhab-2737"
"Hs3st2-74988765","Pmp22-825"
"Cdk14-71670684","Copg2-74819259"
"Folr2-1717","Pmm1-67936010"
"Anxa6-77332100","LOC381355-71924491"
"Chrng-75551466","Cpne8-73520974"
"Acat2-77869798","Gca-74641159"
"Lyst-73994715","Rrad-75080239"
"Casc1-75038484","Rnf152-75043151"
"Csdc2-77887884","Prosc-76115741"
"Csrnp2-74047914","Obfc1-1938"
"Fbxo21-70634119","Slc38a1-75043149"
"Pcsk1-72008494","Sult1a1-75774114"
"C130096N06Rik-73635978","Myo10-74743255"
"Grid1-74724739","Pip4k2c-799"
"Efcab6-74819465","Pak1-73521001"
"Ak1-77414110","Htr5b-71247644"
"Fgd5-74357548","Ninj1-71670490"
"Pak6-75084501","Ubap1-74957898"
"Gpr156-74641322","Mtpn-2411"
"Fam69c-73636086","Gabpb1-121098"
"Eif2d-323588","Thsd7a-71924155"
"Lgals1-75651181","Tdg-71020392"
"1110037F02Rik-74988462","Eef1b2-75934526"
"Klhl36-77371861","Mapt-79556696"
"Gpr101-79591639","Pla2g16-112650769"
"Mlxipl-1932","Prune2-77874616"
"Fkbp10-2220","Rasal1-75774111"
"BC005537-321201","Igfn1-75988547"
"Cyhr1-77414565","Ednrb-74750017"
"Nin-76115736","Tcea3-1870"
"Inpp4b-72080054","Tmem218-1960"
"Oit1-227164","Rln3-73929581"
"Cdh24-70231307","Rprm-75651169"
"Grm3-539","Pax3-2464"
"Pelo-789","Tspan18-74357573"
"E130016E03Rik-1488","Plxna2-77280424"
"Ephb3-1492","Pitx2-79556607"
