gene1,gene2
"Atp10a-72128790","Prdx3-70743842"
"Fzd1-2239","Sfpi1-227535"
"Ddn-73636031","Mxra7-77332080"
"Acot7-145","Epn3-74357584"
"Acsl5-73931635","Panx2-74581443"
"Acot7-145","Mrap2-71924480"
"Copg2-74819259","Npr1-71670678"
"Col12a1-73817431","Hspa4l-75749390"
"Efna1-1347","Gmps-1361"
"Cdh13-77869863","Npr1-71670678"
"Clstn1-73769319","Pak3-71836887"
"Csrp3-77332671","Mex3d-75041562"
"Irx2-1752","Pvr-119504"
"Chst1-71836872","Mageh1-17"
"Mxra7-77332080","Zfp790-356855"
"Acyp2-73930820","Flrt3-73931404"
"Heatr7a-73992940","Stx1a-2645"
"Iqsec1-77332673","Plekha5-70743870"
"Tcf25-293034","Ubr3-74988721"
"BC057079-74881879","Dtna-77413704"
"E2f6-2173","Gli3-1615"
"Prdx3-70743842","Rab3ip-71717136"
"Grin1-1585","Slc19a2-2585"
"Pogk-71064277","Reps2-76135799"
"Smpd4-75651226","Stoml2-74581379"
"Irak1-2323","Pdk3-2474"
"F11r-75773698","Pogk-71064277"
"Pogk-71064277","Tomm20-74819230"
"Cpe-1691","Gm5083-73930833"
"Olig2-2448","Slc35a2-2607"
"Cyhr1-77414565","Itpk1-71923998"
"Cep78-322963","Il17rb-2317"
"Ephb1-72077478","Tdrd3-77887882"
"Hpse-77340468","Rab3ip-71717136"
"Dhcr24-71016721","Pak3-71836887"
"Pnrc1-2501","Slc35b2-2613"
"Ndufs8-74819243","Pdzrn3-71836787"
"AI593442-71250312","Ifit2-74988457"
"Plxnb2-1263","Usp16-1886"
"Gpr18-71015809","Pdzrn3-71836787"
"Npr1-71670678","Smpd4-75651226"
"Kctd16-73636009","Pdzrn3-71836787"
"Ccdc137-1978","Dok2-2155"
"Mapre1-2401","Tsc22d4-1464"
"Plxnb2-1263","Prdx3-70743842"
"Acot13-75042252","Plxnb2-1263"
"Fnta-2226","Pvr-119504"
"Slc18a1-2583","Tsc22d1-1051"
"Fem1a-2212","Prdx3-70743842"
"Npr1-71670678","Smarca2-1972"
"Htr5b-71247644","Tdrd3-77887882"
"F11r-75773698","Slc39a3-2619"
"Gm5083-73930833","Rora-2537"
"Ntrk1-71670679","Sacm1l-74882832"
"Rasal2-75147758","Sema4g-71587856"
"Atp5o-1158","Zfp788-1466"
"Ctnnb1-79591729","Phyh-74800914"
"Ckb-70927826","Ptprs-74882787"
"Prl2c2-75077152","Tsc22d1-1051"
"Adamts16-276267","Hoxb13-2299"
"Arhgap25-72128789","Mrap2-71924480"
"Col25a1-71924301","Pdzrn3-71836787"
"Gnat1-2265","Leprotl1-2373"
"1110037F02Rik-74988462","Npr1-71670678"
"Hoxb13-2299","Leprel4-2547"
"Tmem64-77414589","Yme1l1-356849"
"Agap3-2089","Uqcrb-323595"
"Hpse-77340468","Uqcrb-323595"
"Cx3cl1-2135","Prdx3-70743842"
"Col18a1-287","Syt6-1032"
"Lat-2367","Slc19a2-2585"
"Flrt3-73931404","Tsc22d1-1051"
"Cmtm4-2101","Thpo-2671"
"Capzb-75080633","Gprc5b-71836881"
"Per1-791","Pgbd5-73931642"
"Rasal2-75147758","Rasgrp1-76115742"
"Lrrc4-75041463","Ngfrap1-1786"
"1110037F02Rik-74988462","Zfp790-356855"
"1500032L24Rik-75651168","Stoml2-74581379"
"Eif2ak3-2181","Lrp5-653"
"Fam19a4-72472752","Nhlh2-74657929"
"Acyp2-73930820","C2cd2-1986"
"Nrsn1-71358557","Usp16-1886"
"Ddn-73636031","Tnfaip8-75038412"
"Npr1-71670678","Reps2-76135799"
"Acsl5-73931635","Gca-74641159"
"Lat-2367","Wnt8b-1890"
"Bcan-154","Usp16-1886"
"F11r-75773698","Tnfaip8-75038412"
"Rasal2-75147758","Smarca2-1972"
"Chst1-71836872","Tomm20-74819230"
"Psap-846","Pvr-119504"
"Reps2-76135799","Zfp790-356855"
"App-79591705","Cer1-2091"
"Chrm3-2095","Map2k6-73817433"
"Grm2-79591611","Tcf7l2-72339557"
"Adssl1-72104185","Camkk1-73930840"
"Prl2c2-75077152","Wnt3-2731"
"Lamb1-71670482","Rfxank-67881545"
"Gata2-100","Syt3-1026"
"Cblb-74988451","Pdzrn3-71836787"
"Gbe1-75042250","Zmym2-73925714"
"Bsg-166","Cx3cl1-2135"
"Cep78-322963","Lrp5-653"
"Gpr108-1619","Vps18-1325"
"Slc22a23-72128754","Stoml2-74581379"
"Fem1a-2212","Pxn-1814"
"6330503K22Rik-77280311","Glul-74988768"
"Pdzd2-74988286","Pogk-71064277"
"Cds2-250","Sbf1-276264"
"Gli3-1615","Mocs1-323590"
"Gmps-1361","Slc12a3-2573"
"Mef2d-67810540","Otp-2454"
"Eps8l2-74658244","Mrpl39-673"
"Heatr7a-73992940","Ubxn11-322"
"Mageh1-17","Zfand3-77414923"
"Acot13-75042252","Hpse-77340468"
"Nrsn1-71358557","Ywhaz-1133"
"Bace2-143","Sh3bgr-1416"
"Sox11-79912528","Tdrd3-77887882"
"Map2k6-73817433","Usp16-1886"
"Isyna1-75145997","Krt73-74750042"
"Kank2-112644736","Prkar2a-77332735"
"Mxra7-77332080","Rfx1-77371867"
"Fam19a4-72472752","Npy1r-72103807"
"Spns2-73512500","Ywhae-2739"
"Ccdc137-1978","Gnat1-2265"
"Nr4a1-1792","Psap-846"
"Ank3-74047925","Sparcl1-74750016"
"Chst1-71836872","Rasal2-75147758"
"Galr2-80517343","Stat5a-77413690"
"LOC380720-73931422","Pdzrn3-71836787"
"Pogk-71064277","Sult1a1-75774114"
"Sema4g-71587856","Zfp790-356855"
"LOC545854-73732153","Tdrd3-77887882"
"1500032L24Rik-75651168","Pdcl-324213"
"Nacc2-74641266","Rab3ip-71717136"
"Slc19a2-2585","Syt6-1032"
"Flrt3-73931404","Rbm18-356083"
"Adamts18-75651128","Slc18a2-79591703"
"Eif2d-323588","Pogk-71064277"
"Cdkn1a-2085","Gnpnat1-2267"
"Pogk-71064277","S1pr5-112651200"
"Adamts16-276267","Ldlrap1-2010"
"Prdx3-70743842","Wnt7a-1936"
"Gxylt2-73931405","Tfap2c-74047843"
"Ccdc137-1978","Leprotl1-2373"
"Eps8l2-74658244","Galr2-80517343"
"Plxna2-77280424","Slit2-79591683"
"Irx1-2325","Napb-75651234"
"Gng11-1732","Tgfb3-2667"
"Ntrk1-71670679","Tdrd3-77887882"
"Aldh1a2-2025","Dlx1-348"
"Alox12b-72128779","Cdh4-2083"
"C2cd2-1986","Syt7-1035"
"Per1-791","Wif1-74511885"
"Arhgap25-72128789","Pdgfa-1516"
"Agpat3-85","Hoxb13-2299"
"Igsf11-72103820","Sacm1l-74882832"
"Psap-846","Trap1-1966"
"Dyrk1a-79907941","Stat5a-77413690"
"Agap3-2089","Usp16-1886"
"Agap3-2089","Pdgfa-1516"
"Acot7-145","Usp16-1886"
"Rasal2-75147758","Tnfaip8-75038412"
"Hectd2-2002","Suv39h2-1538"
"Atp10a-72128790","Gckr-74274683"
"1500002O20Rik-1954","Yars-1122"
"Agap3-2089","Bcan-154"
"Agap3-2089","Strn-73521824"
"Cx3cl1-2135","Top1-74957897"
