Gene1,Gene2
"Csf2rb2-73992937","Usp11-355883"
"Dcn-329","Ldhd-74425554"
"Kcnj6-609","Rapgef4-74749895"
"Dbi-71836880","Mri1-75773703"
"Dbi-71836880","Zic1-72103843"
"Cd44-224","Phox2b-2480"
"Gm261-73636032","Slc22a3-73931644"
"Coro1c-75651191","Rarres1-75084131"
"Gabre-75749417","Limk1-640"
"Dkk4-112647536","Setbp1-1532"
"Kif5b-2353","Syt6-1032"
"Rprm-75651169","Sox2-77280331"
"Lzic-276064","Prpf6-67850946"
"Cacng8-72108823","Pwp2-112645814"
"Dok1-75042248","Zmiz1-74988259"
"Crym-73592526","Hebp1-74988456"
"Pam16-2391","Zfp280c-1669"
"Hkdc1-70634299","Rarres1-75084131"
"Nxf7-75988557","Srsf9-75043152"
"Clec11a-112195815","Lrrc3-112649047"
"Gdf1-75081205","Pip4k2c-799"
"Bhlhe40-356488","Eif3j-321196"
"3110082D06Rik-74581400","Gbx2-77868786"
"Pcp2-77413702","Slc22a3-73931644"
"Iyd-71015205","Pcnt-1255"
"Gpr151-74724649","Myo10-74743255"
"Hkdc1-70634299","Slco1a5-67850945"
"Hmx3-74641309","Wnt5a-79556660"
"Gsto1-74511807","Mpzl1-77332711"
"Ccdc85a-75081006","Susd2-75146000"
"Acacb-74881515","Cdk5r1-247"
"E130012A19Rik-74363349","Nkd1-74586666"
"3110082D06Rik-74581400","Oxt-112648396"
"Fam46a-75042237","Mgat2-74988614"
"Copa-1689","Iyd-71015205"
"Filip1l-74363347","Nmb-71836874"
"Bpgm-77414641","Fhdc1-73925717"
"Camk4-75038464","Ccnd2-205"
"Cd44-224","Pcdh8-74750019"
"Clic5-77874610","Col14a1-74658056"
"Fam46a-75042237","Tmem33-356284"
"Gdf1-75081205","Slc22a3-73931644"
"Acan-77869840","Magix-74581446"
"Dpysl5-73635770","Susd2-75146000"
"Grb7-112204995","Hcrtr1-77868713"
"Cdkn1a-80343383","Limk1-640"
"Nkd1-74586666","Slc16a4-2579"
